lon,lat,pop
129.22677,35.42969,6
129.27761,35.48755,30
129.05965,35.61678,37
129.2464,35.57365,3219
129.28631,35.63166,26
129.23363,35.4927,219
129.29764,35.3971,0
129.12063,35.6295,0
129.08306,35.68409,8
129.29434,35.49632,68
129.17283,35.48454,0
129.15505,35.69214,0
129.30264,35.37449,86
129.12533,35.58887,94
129.16274,35.52976,44
129.29704,35.37006,0
129.11393,35.57099,814
129.18535,35.55649,7
129.11222,35.48537,0
129.15143,35.51639,0
129.16694,35.46659,36
129.22124,35.6867,24
129.33688,35.42806,0
129.26698,35.50574,30
129.16039,35.68305,10
129.20923,35.6418,32
129.24631,35.56914,6060
129.08867,35.68852,8
129.22134,35.69121,25
129.31955,35.39226,29
129.24601,35.55563,13
129.17815,35.47545,23
129.04309,35.61699,81
129.23489,35.55128,0
129.25881,35.63658,11
129.19667,35.56985,8
129.32597,35.43274,0
129.26118,35.4923,9
129.13664,35.60224,89
129.18819,35.69168,0
129.09613,35.50812,8
129.00905,35.56784,0
129.25064,35.51499,21
129.06534,35.62572,0
129.08822,35.66599,77
129.25714,35.55997,16
129.08128,35.59396,0
129.25862,35.62756,6
129.08591,35.54882,6
129.16667,35.45307,0
129.27005,35.64543,0
129.12866,35.48064,13
129.2077,35.5697,14
129.14823,35.62912,18
129.05448,35.63488,60
129.25921,35.40217,0
129.30334,35.40603,0
129.17357,35.52059,7
129.20429,35.66891,26
129.34737,35.40536,0
129.25606,35.5104,0
129.23778,35.42953,0
129.1486,35.64715,9
129.14786,35.6111,34
129.29724,35.37907,0
129.35735,35.36013,131
129.32138,35.47337,28
129.31864,35.35171,14
129.17834,35.48446,11
129.07594,35.60305,36
129.07585,35.59854,21
129.10236,35.5441,1896
129.0543,35.62587,13
129.18983,35.50684,20
129.21029,35.69137,6
129.07576,35.59403,58
129.34707,35.39185,171
129.16339,35.5613,39
129.11881,35.53937,81
129.16872,35.55221,0
129.31486,35.4284,717
129.13949,35.47147,0
129.18545,35.561,116
129.26442,35.38857,0
129.25084,35.524,13
129.16451,35.61538,12
129.09999,35.7019,0
129.28673,35.40177,154
129.24611,35.56013,14
129.18851,35.44375,0
129.15319,35.60201,0
129.26896,35.59586,0
129.21652,35.4659,93
129.34624,35.3558,162
129.08057,35.55791,43
129.29654,35.34753,347
129.13075,35.58429,28
129.14105,35.54808,1373
129.19981,35.71856,8
129.17749,35.44391,34
129.1371,35.62477,66
129.08066,35.56241,6
129.32648,35.45527,0
129.10833,35.56656,1075
129.09658,35.53065,14
129.20914,35.63729,46
129.28162,35.41988,358
129.24533,35.52408,916
129.26491,35.41111,57
129.24328,35.42945,0
129.19487,35.48423,7
129.34146,35.38742,807
129.28222,35.44691,0
129.09783,35.59374,45
129.29964,35.48722,1495
129.10797,35.54853,22
129.16834,35.53419,0
129.34614,35.35129,36
129.12578,35.6114,91
129.21543,35.67326,0
129.29353,35.46027,666
129.28019,35.60471,6
129.09703,35.55318,0
129.23875,35.47459,28
129.19743,35.6059,0
129.10218,35.53508,28
129.23537,35.57381,82
129.18507,35.54297,0
129.27101,35.43806,19
129.06945,35.55355,8
129.11656,35.70168,15
129.15685,35.51181,36
129.11439,35.59352,15
129.31445,35.41037,13
129.18888,35.46178,7
129.11529,35.63859,24
129.19096,35.56092,6
129.31965,35.39677,12
129.16011,35.66953,19
129.23576,35.59183,7
129.15658,35.49829,11
129.28611,35.62265,9
129.11466,35.60704,0
129.24898,35.43838,6
129.1774,35.4394,21
129.16993,35.6108,12
129.30945,35.43298,2310
129.11638,35.69266,7
129.16516,35.64692,8
129.20438,35.67342,9
129.11927,35.5619,884
129.13673,35.60674,20
129.2,35.46613,43
129.28863,35.48739,16
129.29403,35.4828,0
129.0973,35.5667,22
129.1417,35.57963,33
129.05413,35.61685,74
129.14252,35.62019,64
129.07025,35.59411,0
129.2099,35.67334,0
129.24079,35.56922,5245
129.14906,35.66968,0
129.28143,35.41086,4125
129.32689,35.47329,9
129.10896,35.5981,85
129.0706,35.61213,42
129.17536,35.60621,0
129.13618,35.5797,69
129.29134,35.36113,39
129.35174,35.35571,175
129.16076,35.70107,35
129.11647,35.69717,9
129.2779,35.50107,7
129.04887,35.63044,10
129.29884,35.45117,1900
129.19182,35.60147,16
129.14124,35.5571,12
129.09071,35.5127,14
129.26481,35.4066,44
129.17236,35.46201,6
129.17554,35.61523,0
129.22037,35.64615,49
129.12506,35.57535,530
129.26678,35.49672,24
129.14133,35.5616,0
129.11429,35.58902,27
129.25339,35.64116,6
129.16125,35.45765,24
129.26404,35.62298,160
129.28182,35.42889,7
129.16088,35.43963,0
129.11872,35.53486,108
129.22114,35.6822,0
129.09125,35.53974,0
129.14851,35.64264,0
129.1133,35.53944,37
129.2406,35.56021,0
129.33524,35.35596,278
129.22667,35.42518,0
129.2655,35.43814,13
129.2404,35.5512,0
129.13213,35.65188,30
129.29664,35.35204,29
129.29694,35.36556,64
129.35267,35.39627,6
129.21038,35.69587,64
129.1199,35.59345,10
129.23324,35.47467,91
129.16507,35.64242,0
129.16638,35.7055,56
129.23683,35.6414,17
129.29183,35.63158,55
129.23914,35.49262,3598
129.07077,35.62114,320
129.14428,35.70581,20
129.29784,35.40611,79
129.32995,35.36506,20
129.27071,35.42454,13
129.29684,35.36105,100
129.33035,35.38308,0
129.15945,35.63799,45
129.12588,35.61591,82
129.28534,35.33868,11
129.31567,35.46444,0
129.27612,35.41996,19
129.1942,35.45269,14
129.17414,35.54763,39
129.23547,35.57832,151
129.14225,35.60667,13
129.22405,35.56045,3828
129.17143,35.6829,11
129.15199,35.54343,61
129.10227,35.53959,11
129.1602,35.67404,0
129.06464,35.58967,81
129.14262,35.62469,7
129.23227,35.42961,0
129.23703,35.65041,58
129.30744,35.34286,12
129.2598,35.42921,26
129.27061,35.42004,22
129.17752,35.70986,0
129.12993,35.54373,55
129.20496,35.70046,31
129.24251,35.3934,0
129.18498,35.53846,23
129.22163,35.70473,0
129.29343,35.45576,673
129.22637,35.6686,64
129.14537,35.48943,0
129.21025,35.42992,83
129.07541,35.57601,0
129.08858,35.68402,0
129.17787,35.46193,70
129.13012,35.55274,582
129.32678,35.46878,18
129.21633,35.45688,21
129.2782,35.51459,9
129.11909,35.55289,266
129.20465,35.42549,8
129.04861,35.61692,55
129.27652,35.43798,7
129.25812,35.60503,0
129.33626,35.40103,24
129.17974,35.55206,219
